config,m_tile,n_tile,simdgroups,mat_n,correct,time_us,gflops
32x16_sg1,32,16,1,512,yes,472,568.72
32x16_sg2,32,16,2,512,yes,460,583.56
32x16_sg3,32,16,3,512,yes,755,355.54
32x16_sg4,32,16,4,512,yes,734,365.72
32x16_sg5,32,16,5,512,yes,820,327.36
32x16_sg6,32,16,6,512,yes,740,362.75
32x16_sg7,32,16,7,512,yes,585,458.86
32x16_sg8,32,16,8,512,yes,830,323.42
32x16_sg9,32,16,9,512,yes,825,325.38
32x16_sg10,32,16,10,512,yes,473,567.52
32x16_sg11,32,16,11,512,yes,597,449.64
32x16_sg12,32,16,12,512,yes,729,368.22
32x16_sg13,32,16,13,512,yes,601,446.65
32x16_sg14,32,16,14,512,yes,647,414.89
32x16_sg15,32,16,15,512,yes,801,335.13
32x16_sg16,32,16,16,512,yes,652,411.71
32x16_sg17,32,16,17,512,yes,580,462.82
32x16_sg18,32,16,18,512,yes,600,447.39
32x16_sg19,32,16,19,512,yes,775,346.37
32x16_sg20,32,16,20,512,yes,792,338.93
32x16_sg21,32,16,21,512,yes,784,342.39
32x16_sg22,32,16,22,512,yes,715,375.43
32x16_sg23,32,16,23,512,yes,648,414.25
32x16_sg24,32,16,24,512,yes,822,326.56
32x16_sg25,32,16,25,512,yes,764,351.36
32x16_sg26,32,16,26,512,yes,664,404.27
32x16_sg27,32,16,27,512,yes,793,338.51
32x16_sg28,32,16,28,512,yes,865,310.33
32x16_sg29,32,16,29,512,yes,764,351.36
32x16_sg30,32,16,30,512,yes,833,322.25
32x16_sg31,32,16,31,512,yes,810,331.40
32x16_sg32,32,16,32,512,yes,820,327.36
32x32_sg1,32,32,1,512,yes,816,328.97
32x32_sg2,32,32,2,512,yes,795,337.65
32x32_sg3,32,32,3,512,yes,654,410.45
32x32_sg4,32,32,4,512,yes,397,676.16
32x32_sg5,32,32,5,512,yes,786,341.52
32x32_sg6,32,32,6,512,yes,848,316.55
32x32_sg7,32,32,7,512,yes,944,284.36
32x32_sg8,32,32,8,512,yes,885,303.32
32x32_sg9,32,32,9,512,yes,835,321.48
32x32_sg10,32,32,10,512,yes,962,279.04
32x32_sg11,32,32,11,512,yes,999,268.70
32x32_sg12,32,32,12,512,yes,1062,252.76
32x32_sg13,32,32,13,512,yes,785,341.96
32x32_sg14,32,32,14,512,yes,916,293.05
32x32_sg15,32,32,15,512,yes,512,524.29
32x32_sg16,32,32,16,512,yes,698,384.58
32x32_sg17,32,32,17,512,yes,776,345.92
32x32_sg18,32,32,18,512,yes,984,272.80
32x32_sg19,32,32,19,512,yes,706,380.22
32x32_sg20,32,32,20,512,yes,965,278.17
32x32_sg21,32,32,21,512,yes,778,345.03
32x32_sg22,32,32,22,512,yes,423,634.60
32x32_sg23,32,32,23,512,yes,762,352.28
32x32_sg24,32,32,24,512,yes,788,340.65
